market_id,사용가능상품권,공중화장실보유여부,주차장보유여부
MKT001087,,Y,Y
MKT001088,,Y,Y
MKT001089,,Y,Y
MKT001090,,Y,Y
MKT001091,,Y,Y
MKT001092,,Y,Y
MKT001093,,Y,Y
MKT001094,,Y,Y
MKT001095,,Y,Y
MKT001096,,Y,Y
MKT001097,,Y,Y
MKT001098,,Y,N
MKT001099,,Y,Y
MKT001100,,Y,Y
MKT001101,,Y,Y
MKT001102,,Y,Y
MKT001103,,Y,Y
MKT001104,,Y,Y
MKT001105,,Y,Y
MKT001106,,Y,Y
MKT001107,,Y,Y
MKT001108,,Y,Y
MKT001109,,Y,N
MKT001110,,Y,Y
MKT001111,,Y,Y
MKT001112,,Y,N
MKT001113,,Y,Y
MKT001114,,Y,Y
MKT001115,,Y,Y
MKT001116,,Y,Y
MKT001117,,Y,Y
MKT001118,,Y,Y
MKT001119,,Y,N
MKT001120,,Y,Y
MKT001121,,Y,Y
MKT001122,,Y,Y
MKT001123,,Y,Y
MKT001124,,Y,Y
MKT001125,,Y,Y
MKT001126,,Y,Y
MKT001127,,Y,Y
MKT001128,,Y,Y
MKT001129,,Y,Y
MKT001130,,Y,Y
MKT001131,,Y,Y
MKT001132,,Y,Y
MKT001133,,Y,Y
MKT001134,,Y,Y
MKT001135,,Y,Y
MKT001136,,Y,Y
MKT001137,,Y,Y
MKT001138,,Y,Y
MKT001139,,Y,Y
MKT001140,,Y,Y
MKT001141,,Y,Y
MKT001142,,Y,Y
MKT001143,,Y,Y
MKT001144,,Y,Y
MKT001145,,Y,Y
MKT001146,,Y,Y
MKT001147,,Y,Y
MKT001148,,Y,Y
MKT001149,,Y,Y
MKT001150,,Y,Y
MKT001151,,N,N
MKT001152,,Y,Y
MKT001153,,Y,Y
MKT001154,,Y,N
MKT001155,,Y,Y
MKT001156,,Y,Y
MKT001157,,N,N
MKT001158,,Y,Y
MKT001159,,Y,Y
MKT001160,,Y,Y
MKT001161,,Y,Y
MKT001162,,Y,Y
MKT001163,,Y,Y
MKT001164,,Y,N
MKT001165,,Y,N
MKT001166,,Y,Y
MKT001167,,Y,Y
MKT001168,,Y,Y
MKT001169,,Y,Y
MKT001170,,Y,Y
MKT001171,,Y,Y
MKT001172,,Y,Y
MKT001173,,Y,Y
MKT001174,,Y,Y
MKT001175,,Y,Y
MKT001176,,Y,Y
MKT001177,,N,N
MKT001178,,Y,Y
MKT001179,,Y,Y
MKT001180,,Y,Y
MKT001181,,Y,Y
MKT001182,,Y,Y
MKT001183,,Y,Y
MKT001184,,Y,Y
MKT001185,,Y,Y
MKT001186,,Y,Y
MKT001187,,Y,Y
MKT001188,,Y,Y
MKT001189,,Y,Y
MKT001190,,Y,Y
MKT001191,,Y,Y
MKT001192,,Y,Y
MKT001193,,Y,Y
MKT001194,,Y,Y
MKT001195,,Y,Y
MKT001196,,Y,Y
MKT001197,,Y,Y
MKT001198,,Y,Y
MKT001199,,Y,Y
MKT001200,,Y,Y
MKT001201,,N,Y
MKT001202,,Y,Y
MKT001203,,Y,Y
MKT001204,,Y,Y
MKT001205,,Y,Y
MKT001206,,Y,Y
MKT001207,,Y,Y
MKT001208,,Y,Y
MKT001209,,Y,Y
MKT001210,,Y,Y
MKT001211,,Y,Y
MKT001212,,Y,Y
MKT001213,,Y,Y
MKT001214,,Y,Y
MKT001215,,Y,Y
MKT001216,,Y,Y
MKT001217,,Y,Y
MKT001218,,Y,Y
MKT001219,,Y,N
MKT001220,,N,Y
MKT001221,,Y,Y
MKT001222,,Y,Y
MKT001223,,Y,Y
MKT001224,,Y,Y
MKT001225,,N,N
MKT001226,,Y,Y
MKT001227,,Y,Y
MKT001228,,Y,Y
MKT001229,,Y,Y
MKT001230,,Y,Y
MKT001231,,Y,Y
MKT001232,,Y,Y
MKT001233,,Y,Y
MKT001234,,Y,Y
MKT001235,,Y,Y
MKT001236,,Y,Y
MKT001237,,Y,Y
MKT001238,,Y,Y
MKT001239,,Y,Y
MKT001240,,Y,Y
MKT001241,,Y,Y
MKT001242,,Y,Y
MKT001243,,Y,Y
MKT001244,,N,Y
MKT001245,,Y,Y
MKT001246,,Y,Y
MKT001247,,Y,Y
MKT001248,,Y,N
MKT001249,,Y,Y
MKT001250,,Y,Y
MKT001251,,Y,Y
MKT001252,,Y,Y
MKT001253,,Y,Y
MKT001254,,Y,Y
MKT001255,,Y,N
MKT001256,,Y,Y
MKT001257,,Y,Y
MKT001258,,Y,Y
MKT001259,,Y,Y
MKT001260,,Y,Y
MKT001261,,Y,Y
MKT001262,,Y,Y
MKT001263,,Y,Y
MKT001264,,Y,Y
MKT001265,,Y,Y
MKT001266,,Y,Y
MKT001267,,Y,Y
MKT001268,,Y,Y
MKT001269,,Y,Y
MKT001270,,Y,Y
MKT001271,,Y,Y
MKT001272,,Y,Y
MKT001273,,Y,Y
MKT001274,,Y,Y
MKT001275,,Y,Y
MKT001276,,Y,Y
MKT001277,,Y,Y
MKT001278,,Y,Y
MKT001279,,Y,Y
MKT001280,,Y,Y
MKT001281,,Y,Y
MKT001282,,Y,Y
MKT001283,,Y,Y
MKT001284,,Y,Y
MKT001285,,Y,Y
MKT001286,,Y,Y
MKT001287,,Y,Y
MKT001288,,Y,N
MKT001289,,N,Y
MKT001290,,Y,N
MKT001291,,Y,Y
MKT001292,,Y,Y
MKT001293,,Y,Y
MKT001294,,Y,Y
MKT001295,,Y,N
MKT001296,,Y,Y
MKT001297,,Y,Y
MKT001298,,Y,Y
MKT001299,,Y,Y
MKT001300,,Y,Y
MKT001301,,Y,Y
MKT001302,,Y,Y
MKT001303,,Y,Y
MKT001304,,Y,Y
MKT001305,,Y,N
MKT001306,,Y,Y
MKT001307,,Y,N
MKT001308,,Y,Y
MKT001309,,Y,Y
MKT001310,,Y,Y
MKT001311,,Y,Y
MKT001312,,Y,Y
MKT001313,,Y,Y
MKT001314,,Y,N
MKT001315,,Y,Y
MKT001316,,Y,Y
MKT001317,,Y,N
MKT001318,,Y,Y
MKT001319,,Y,Y
MKT001320,,Y,Y
MKT001321,,Y,Y
MKT001322,,Y,Y
MKT001323,,Y,Y
MKT001324,,Y,Y
MKT001325,,Y,Y
MKT001326,,Y,Y
MKT001327,,Y,Y
MKT001328,,Y,Y
MKT001329,,Y,Y
MKT001330,,Y,N
MKT001331,,Y,Y
MKT001332,,Y,Y
MKT001333,,Y,Y
MKT001334,,Y,Y
MKT001335,,Y,N
MKT001336,,Y,Y
MKT001337,,Y,Y
MKT001338,,Y,Y
MKT001339,,Y,Y
MKT001340,,Y,Y
MKT001341,,Y,Y
MKT001342,,Y,Y
MKT001343,,Y,Y
MKT001344,,Y,Y
MKT001345,,Y,Y
MKT001346,,Y,Y
MKT001347,,Y,Y
MKT001348,,Y,Y
MKT001349,,Y,Y
MKT001350,,Y,Y
MKT001351,,Y,Y
MKT001352,,Y,Y
MKT001353,,Y,Y
MKT001354,,Y,Y
MKT001355,,Y,Y
MKT001356,,Y,Y
MKT001357,,Y,Y
MKT001358,,Y,Y
MKT001359,,Y,Y
MKT001360,,Y,Y
MKT001361,,Y,Y
MKT001362,,Y,Y
MKT001363,,Y,Y
MKT001364,,Y,Y
MKT001365,,Y,Y
MKT001366,,N,Y
MKT001367,,Y,Y
MKT001368,,Y,Y
MKT001369,,N,Y
MKT001370,,Y,Y
MKT001371,,Y,Y
MKT001372,,Y,Y
MKT001373,,Y,Y
MKT001374,,Y,Y
MKT001375,,Y,Y
MKT001376,,Y,Y
MKT001377,,Y,Y
MKT001378,,Y,N
MKT001379,,Y,Y
MKT001380,,Y,Y
MKT001381,,Y,Y
MKT001382,,Y,Y
MKT001383,,Y,Y
MKT001384,,Y,Y
MKT001385,,Y,Y
MKT001386,,Y,Y
MKT001387,,Y,Y
MKT001388,,Y,Y
MKT001389,,Y,Y
MKT001390,,Y,Y
MKT001391,,Y,Y
MKT001392,,Y,Y
MKT001393,,Y,Y
