market_id,사용가능상품권,공중화장실보유여부,주차장보유여부
MKT000247,,Y,Y
MKT000248,,Y,Y
MKT000249,,Y,Y
MKT000250,,Y,N
MKT000251,,Y,Y
MKT000252,,Y,Y
MKT000253,,Y,Y
MKT000254,,Y,N
MKT000255,,Y,Y
MKT000256,,Y,Y
MKT000257,,Y,N
MKT000258,,Y,Y
MKT000259,,Y,Y
MKT000260,,Y,Y
MKT000261,,Y,Y
MKT000262,,N,N
MKT000263,,Y,Y
MKT000264,,Y,Y
MKT000265,,Y,Y
MKT000266,,Y,Y
MKT000267,,N,Y
MKT000268,,N,N
MKT000269,,Y,Y
MKT000270,,Y,Y
MKT000271,,Y,Y
MKT000272,,Y,Y
MKT000273,,Y,Y
MKT000274,,Y,Y
MKT000275,,Y,Y
MKT000276,,Y,Y
MKT000277,,Y,Y
MKT000278,,Y,Y
MKT000279,,Y,Y
MKT000280,,Y,N
MKT000281,,Y,Y
MKT000282,,N,Y
MKT000283,,Y,N
MKT000284,,Y,Y
MKT000285,,Y,Y
MKT000286,,Y,Y
MKT000287,,Y,Y
MKT000288,,Y,Y
MKT000289,,Y,Y
MKT000290,,Y,Y
MKT000291,,Y,N
MKT000292,,Y,Y
MKT000293,,Y,Y
MKT000294,,Y,Y
MKT000295,,Y,Y
MKT000296,,Y,Y
MKT000297,,Y,Y
MKT000298,,Y,Y
MKT000299,,Y,Y
MKT000300,,Y,Y
MKT000301,,Y,Y
MKT000302,,Y,Y
MKT000303,,Y,Y
MKT000304,,Y,Y
MKT000305,,Y,Y
MKT000306,,Y,Y
MKT000307,,Y,Y
MKT000308,,Y,Y
MKT000309,,Y,Y
MKT000310,,Y,Y
MKT000311,,Y,Y
MKT000312,,Y,Y
MKT000313,,Y,Y
MKT000314,,Y,Y
MKT000315,,Y,Y
MKT000316,,Y,Y
MKT000317,,Y,Y
MKT000318,,Y,Y
MKT000319,,Y,Y
MKT000320,,Y,Y
MKT000321,,Y,Y
MKT000322,,Y,Y
MKT000323,,Y,Y
MKT000324,,Y,Y
MKT000325,,Y,Y
MKT000326,,Y,Y
MKT000327,,Y,Y
MKT000328,,Y,Y
MKT000329,,Y,Y
MKT000330,,Y,Y
MKT000331,,Y,Y
MKT000332,,Y,Y
MKT000333,,Y,Y
MKT000334,,Y,Y
MKT000335,,Y,Y
MKT000336,,Y,Y
MKT000337,,Y,Y
MKT000338,,Y,Y
MKT000339,,Y,Y
MKT000340,,Y,Y
MKT000341,,Y,Y
MKT000342,,Y,Y
MKT000343,,Y,Y
MKT000344,,Y,Y
MKT000345,,Y,N
MKT000346,,Y,Y
MKT000347,,Y,N
MKT000348,,Y,Y
MKT000349,,Y,N
MKT000350,,Y,Y
MKT000351,,Y,Y
MKT000352,,Y,Y
MKT000353,,Y,Y
MKT000354,,Y,Y
MKT000355,,Y,Y
MKT000356,,Y,Y
MKT000357,,Y,Y
MKT000358,,Y,Y
MKT000359,,Y,Y
MKT000360,,Y,Y
MKT000361,,Y,Y
MKT000362,,Y,Y
MKT000363,,Y,Y
MKT000364,,Y,Y
MKT000365,,Y,Y
MKT000366,,Y,Y
MKT000367,,Y,Y
MKT000368,,Y,Y
MKT000369,,Y,Y
MKT000370,,Y,Y
MKT000371,,Y,Y
MKT000372,,Y,N
MKT000373,,Y,Y
MKT000374,,Y,Y
MKT000375,,Y,Y
MKT000376,,Y,Y
MKT000377,,Y,Y
MKT000378,,N,N
MKT000379,,Y,Y
MKT000380,,Y,Y
MKT000381,,Y,Y
MKT000382,,Y,Y
MKT000383,,N,N
MKT000384,,Y,Y
MKT000385,,Y,Y
MKT000386,,Y,Y
MKT000387,,Y,Y
MKT000388,,Y,Y
MKT000389,,Y,Y
MKT000390,,Y,Y
MKT000391,,Y,Y
MKT000392,,Y,Y
MKT000393,,Y,Y
MKT000394,,Y,Y
MKT000395,,Y,Y
MKT000396,,Y,Y
MKT000397,,Y,Y
MKT000398,,Y,Y
MKT000399,,Y,N
MKT000400,,N,N
MKT000401,,Y,Y
MKT000402,,Y,Y
MKT000403,,Y,Y
MKT000404,,Y,Y
MKT000405,,Y,Y
MKT000406,,Y,Y
MKT000407,,Y,Y
MKT000408,,Y,Y
MKT000409,,Y,Y
MKT000410,,Y,Y
MKT000411,,Y,Y
MKT000412,,Y,Y
MKT000413,,Y,Y
MKT000414,,Y,N
MKT000415,,Y,Y
MKT000416,,Y,Y
MKT000417,,Y,Y
MKT000418,,Y,N
MKT000419,,Y,Y
MKT000420,,Y,Y
MKT000421,,Y,Y
MKT000422,,Y,Y
MKT000423,,Y,Y
MKT000424,,Y,Y
MKT000425,,Y,Y
MKT000426,,Y,Y
MKT000427,,Y,Y
MKT000428,,Y,Y
MKT000429,,Y,Y
MKT000430,,Y,Y
MKT000431,,Y,Y
MKT000432,,Y,Y
MKT000433,,Y,Y
MKT000434,,Y,Y
MKT000435,,Y,Y
MKT000436,,Y,Y
MKT000437,,Y,Y
MKT000438,,Y,Y
MKT000439,,Y,Y
MKT000440,,Y,Y
MKT000441,,Y,Y
MKT000442,,Y,Y
MKT000443,,Y,Y
MKT000444,,Y,Y
MKT000445,,Y,Y
MKT000446,,Y,Y
MKT000447,,Y,Y
MKT000448,,Y,Y
MKT000449,,Y,Y
MKT000450,,Y,Y
MKT000451,,Y,Y
MKT000452,,Y,Y
MKT000453,,Y,N
MKT000454,,Y,Y
MKT000455,,Y,Y
MKT000456,,Y,Y
MKT000457,,Y,Y
MKT000458,,Y,Y
MKT000459,,Y,Y
MKT000460,,Y,Y
MKT000461,,Y,Y
MKT000462,,Y,Y
MKT000463,,Y,Y
MKT000464,,Y,Y
MKT000465,,Y,Y
MKT000466,,Y,Y
MKT000467,,Y,Y
MKT000468,,Y,Y
MKT000469,,Y,Y
MKT000470,,Y,Y
MKT000471,,Y,Y
MKT000472,,Y,Y
MKT000473,,Y,Y
MKT000474,,Y,Y
MKT000475,,Y,Y
MKT000476,,Y,N
MKT000477,,Y,Y
MKT000478,,Y,Y
MKT000479,,Y,Y
