관광지ID,관광지명,위도,경도,주소
9a85991eab0f0ab60a481c398afd9a41,양지홍삼농장,36.1516934,127.4964627,충남 금산군 군북면 어필각로 248-64
39ff8bc35818b1821398f87b258d8146,이주홍문학관,35.2153064,129.0766209,부산 동래구 금강로61번길 20-12
be900efe1593578f1612513bff9939b4,직산삼은저수지생활체육공원,36.8828184,127.1579574,충남 천안시 서북구 직산읍 직산로 136
02e2f11f46eb190e3ab268921a46967e,해룡파크골프장,34.9027385,127.5719251,전남광주통합특별시 순천시 해룡면 선월리 893-2
1523bfa5c0ba9bb05fe48f4c7c7379b4,헬로방방민락점,37.7446158,127.0980846,경기 의정부시 오목로205번길 1
37bfb5030c236616c8389023d0385ed4,군산항제6부두,35.971924,126.5553147,전북특별자치도 군산시 서해로 470
984e86c34da3d75378542eb13f0623e3,마분공원,37.4851979,126.7405356,인천 부평구 부개동 331
00bbf1cfb8592820d3739d424a726227,백석공원,35.881371,127.1246199,전북특별자치도 전주시 덕진구 송천동2가 1293-86
fd47976de25797dfb1d0605ba8e8799c,새여울커뮤니티센터,36.4489224,127.4328682,대전 대덕구 신탄진로796번길 62
696fad768d4767defef0e49e30ad7bd0,영남직업전문학교신관,35.9784776,129.3649161,경북 포항시 남구 대송면 운제로107번길 33
3e41e9a981e522ab1867457761763e33,오픈스페이스배,35.1047057,129.0345285,부산 중구 동광길 43
821a3107f619d0585f25fb017d720604,천정궁박물관,37.6836748,127.547066,경기 가평군 설악면 미사리로 324-275
a94bdded37dc4e6f091ce57fb5c52259,CGV여수웅천,34.7487547,127.6787549,전남광주통합특별시 여수시 웅천로 19-35
104e793cf8c995585e51670fdd7c6f6e,광안시장,35.1596111,129.1133137,부산 수영구 수영로 603
371f9ca7d04a4c08b12d61673b62ef61,김천시립미술관,36.1167817,128.1194956,경북 김천시 남산공원길 90-14
778ac324f54dddb1887463b2d930f57f,대왕축산,35.1951092,129.0890144,부산 동래구 수안로8번길 19-4
991296453ebde80d5169480dfe4ddbbd,안골유원지,37.7363938,127.0255304,경기 의정부시 가능동
e18574d844d78ccbe56a32561b211cf4,안용복기념부산포개항문화관,35.1355658,129.0528835,부산 동구 증산로 100
e654c0b5093228b2cb2cd40baa0a0dc2,양평생활체육공원,37.4835129,127.4980939,경기 양평군 양평읍 창대리 720
8d0e77533fb60d1f8471462174e764a9,이천유나이티드풋볼클럽,37.2949474,127.4726947,경기 이천시 황무로 1081-136
619b7a4d344d87882edf3825bed2175c,창녕군 장마면 하이곡마을,35.4473069,128.4450206,경남 창녕군 장마면 하이곡길 9
053f08922b57c231863ba83d4cb0591b,통영수영장,34.8586778,128.4133199,경남 통영시 평인일주로 1052-27
