관광지ID,업소명,분류,맛집시도,맛집시군구,현지인순위,외지인순위,원본맛집파일,표준시도,표준시군구,표준구
8067777446224889a11b8c3a6635e543,한마음정육식당홍성내포점,한식,충청남도,홍성군,64.0,62.0,홍성군_현지인외지인맛집_최종.csv,충청남도,홍성군,
8069c90c4f520a0b588d4767975b6e2e,문수산국수집,한식,울산광역시,울주군,83.0,54.0,울주군_현지인외지인맛집_최종.csv,울산광역시,울주군,
806dd5abb0d2878b54fbff33cd94885f,동화루[중식],외국식,전라남도,광양시,,95.0,광양시_현지인외지인맛집_최종.csv,전라남도,광양시,
807889a57d821c72e97d9cabddc430db,대운한우촌,한식,전북특별자치도,김제시,,70.0,김제시_현지인외지인맛집_최종.csv,전북특별자치도,김제시,
807acf32809e9b3bfb85fdd6a412a0a5,메르벨르카페,카페/찻집,충청남도,태안군,67.0,91.0,태안군_현지인외지인맛집_최종.csv,충청남도,태안군,
807ca9d45296196e4393447c1509bc59,공석횟집,전문음식,경상북도,울진군,28.0,28.0,울진군_현지인외지인맛집_최종.csv,경상북도,울진군,
807ce21c076ec811d2b5350881d0350f,홍북식당,한식,충청남도,예산군,38.0,40.0,예산군_현지인외지인맛집_최종.csv,충청남도,예산군,
8081fa96c31a8d512b80d9b9c714ae30,원조우렁쌈밥순두부,한식,경기도,포천시,99.0,47.0,포천시_현지인외지인맛집_최종.csv,경기도,포천시,
808417f201d0088b823af664c5044666,청기와보리밥한정식,한식,경기도,양평군,80.0,,양평군_현지인외지인맛집_최종.csv,경기도,양평군,
808445c5a9490aea79353a023cd26984,황금손칼국수간장게장,한식,경기도,안산시 단원구,,89.0,안산시+단원구_현지인외지인맛집_최종.csv,경기도,안산시,단원구
80844de15816162bcefa1d34f5d2349f,고메스퀘어세종점,전문음식,세종특별자치시,세종특별자치시,9.0,23.0,세종특별자치시_현지인외지인맛집_최종.csv,세종특별자치시,세종특별자치시,
8086b1875bdc34918dad2207ebf306ca,황금코다리김천점,전문음식,경상북도,김천시,39.0,44.0,김천시_현지인외지인맛집_최종.csv,경상북도,김천시,
8092c8bffb252c29b9f3ca5bfd3da5c1,루키초밥봉선직영점,외국식,광주광역시,남구,48.0,40.0,남구_현지인외지인맛집_최종.csv,광주광역시,남구,
809cb97d9137f4c4d28bc0ce9a11dccf,신교령사골순대국본점,한식,인천광역시,계양구,,65.0,계양구_현지인외지인맛집_최종.csv,인천광역시,계양구,
809dd939dc35019e8d786d759f7f7254,다대포돌짜장[중식],외국식,부산광역시,사하구,88.0,51.0,사하구_현지인외지인맛집_최종.csv,부산광역시,사하구,
80a1578d03cec0b9e0bc37eb6d58baa7,갈산갈비,한식,인천광역시,부평구,71.0,55.0,부평구_현지인외지인맛집_최종.csv,인천광역시,부평구,
80a4dda254e23c3c996781259c725e0e,중국성[중식],외국식,인천광역시,옹진군,55.0,76.0,옹진군_현지인외지인맛집_최종.csv,인천광역시,옹진군,
80abc677672d81e3111aced30fb8cf52,투폴드,카페/찻집,경상남도,함안군,14.0,8.0,함안군_현지인외지인맛집_최종.csv,경상남도,함안군,
80b5194baca0a32cc03c399ec57324fb,소풍초밥본점,외국식,경상북도,구미시,29.0,54.0,구미시_현지인외지인맛집_최종.csv,경상북도,구미시,
