place_id,place_type,name,latitude,longitude,road_address,jibun_address
MKT000416,MARKET,여산시장,36.05890563,127.083244,전북특별차치도 익산시 서촌2길 22-1,전북특별차치도 익산시 여산면 여산리 412-4
MKT000417,MARKET,익산장(익산북부장),35.9512294,126.9567719,전북특별차치도 익산시 인북로 11길 27,전북특별차치도 익산시 남중동 35-9
MKT000418,MARKET,가좌시장,37.4933969,126.684576,인천광역시 서구 장고개로337번길18의19,인천광역시 서구 가좌2동 30-48
MKT000419,MARKET,익산금마시장,35.99217754,127.0534309,전북특별차치도 익산시 금마면 고도길 58,전북특별차치도 익산시 금마면 동고도리 701-2
MKT000420,MARKET,삼례시장,35.91068557,127.0737715,전북특별차치도 완주군 삼례읍 삼봉로 6,전북특별차치도 완주군 삼례읍 삼례리 923-8
MKT000421,MARKET,부평문화의거리,37.49408359,126.7250106,인천광역시 부평구 부평문화로 78-2,인천광역시 부평구 부평동 201-1
MKT000422,MARKET,고산미소시장,35.97444053,127.2048167,전북특별차치도 완주군 고산면 남봉로 135,전북특별차치도 완주군 고산면 읍내리 887
MKT000423,MARKET,순창시장,35.37187647,127.1450592,전북특별차치도 순창군 순창읍 남계로 58,전북특별차치도 순창군 순창읍 남계리 800
MKT000424,MARKET,동계시장,35.43954095,127.2397976,전북특별차치도 순창군 동계면 동계로 22,전북특별차치도 순창군 동계면 현포리 623
MKT000425,MARKET,줄포시장,35.58760184,126.6768543,전북특별차치도 부안군 줄포면 부안로 865,전북특별차치도 부안군 줄포면 줄포리 728-3
MKT000426,MARKET,부안상설시장,35.72709542,126.7329492,전북특별차치도 부안군 부안읍 부풍로 47,전북특별차치도 부안군 부안읍 서외리 21
MKT000427,MARKET,안성시장(덕유산장터),35.86627446,127.6535366,전북특별차치도 무주군 안성면 칠연로 38,전북특별차치도 무주군 안성면 장기리 1511-6
MKT000428,MARKET,설천시장(삼도봉장터),36.0099056,127.7880133,전북특별차치도 무주군 설천면 삼도봉로 11,전북특별차치도 무주군 설천면 소천리 904-29
MKT000429,MARKET,무풍시장(대덕산장터),35.96945032,127.8487964,전북특별차치도 무주군 무풍면 현내로 213,전북특별차치도 무주군 무풍면 현내리 259-5
MKT000430,MARKET,진흥종합시장,37.49695039,126.7257012,인천광역시 부평구 부흥로3204번길 27,인천광역시 부평구 부평동 252-52
MKT000431,MARKET,용남시장,35.40710447,127.3767644,전북특별차치도 남원시 동헌길10,전북특별차치도 고창군 흥덕면 흥덕리 430-1
MKT000432,MARKET,남원인월시장,35.46112561,127.6021352,전북특별차치도 남원시 인월면 인월로 65-3,전북특별차치도 남원시 인월면 인월리 251-15
MKT000433,MARKET,남원공설시장,35.40461965,127.3758611,전북특별차치도 남원시 의총로 51,전북특별차치도 남원시 금동 264-1
MKT000434,MARKET,금만시장,35.80014264,126.8864263,전북특별차치도 김제시 동서7길23,전북특별차치도 김제시 요촌동 194-7
MKT000435,MARKET,김제전통시장,35.80162714,126.8837248,전북특별차치도 김제시 사정거리1길20,전북특별차치도 김제시 요촌동 415
MKT000436,MARKET,역전시장,35.79317122,126.9016024,전북특별차치도 김제시 중앙로 288,전북특별차치도 김제시 신풍동 40-2
MKT000437,MARKET,원평공설시장(김제원평시장),35.71406176,126.9947286,전북특별차치도 김제시 금산면 원평6길 39-10,전북특별차치도 김제시 금산면 원평리 91
MKT000438,MARKET,군산수산물종합센터,35.99398004,126.7047377,전북특별차치도 군산시 내항2길 216,전북특별차치도 군산시 금동 57-4
MKT000439,MARKET,군산신영시장,35.98560841,126.7201159,전북특별차치도 군산시 동신영길 56,전북특별차치도 군산시 신영동 19-5
MKT000440,MARKET,장승백이전통시장,37.44656416,126.7352271,인천광역시 남동구 인주대로888번길 35,인천광역시 남동구 만수동 1082-1
MKT000441,MARKET,명산시장,35.98251006,126.7095374,전북특별차치도 군산시 오룡로51-18,전북특별차치도 군산시 명산동 21-1
MKT000442,MARKET,고성오일시장,33.4518552,126.9128143,제주특별자치도 서귀포시 성산읍 고성오조로 93,제주특별자치도 서귀포시 성산읍 고성리 1180-34
